LOC119724510	T-box protein 1
LOC119725270	probetacellulin-like
LOC119725271	uncharacterized LOC119725271
LOC119725272	vegetative cell wall protein gp1-like
LOC119725273	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119725275	cytochrome P450 3A29-like
LOC119725276	nucleoside diphosphate-linked moiety X motif 19-like
LOC119725277	myotrophin-like
LOC119725278	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
LOC119725279	arylsulfatase B-like
LOC119725280	kynureninase-like
LOC119725281	short transient receptor potential channel 3-like
LOC119725282	FAS-associated factor 2-like
LOC119725283	protein KASH5-like
LOC119725284	mediator of RNA polymerase II transcription subunit 30-like
LOC119725285	40S ribosomal protein S10-like
LOC119725286	monocarboxylate transporter 13-like
LOC119725287	uncharacterized LOC119725287
LOC119725288	protein DVR-1 homolog
LOC119725289	zinc finger protein 239-like
LOC119725290	mRNA-capping enzyme-like
LOC119725291	lysoplasmalogenase-like protein TMEM86A
LOC119725292	protein LKAAEAR1-like
LOC119725293	X-ray repair cross-complementing protein 5-like
LOC119725294	pseudouridine-metabolizing bifunctional protein C1861.05-like
LOC119725296	ketohexokinase-like
LOC119725297	activator of basal transcription 1-like
LOC119725298	cullin-associated NEDD8-dissociated protein 1-like
LOC119725299	60S acidic ribosomal protein P0-like
LOC119725300	uncharacterized LOC119725300
LOC119725302	G-protein coupled receptor GRL101-like
LOC119725303	G-protein coupled receptor GRL101-like
LOC119725304	G-protein coupled receptor GRL101-like
LOC119725305	eukaryotic translation initiation factor 5B-like
LOC119725306	uncharacterized LOC119725306
LOC119725307	uncharacterized LOC119725307
LOC119725308	uncharacterized LOC119725308
LOC119725309	uncharacterized acetyltransferase YvcN-like
LOC119725310	uncharacterized LOC119725310
LOC119725311	uncharacterized acetyltransferase YvcN-like
LOC119725313	uncharacterized LOC119725313
LOC119725314	uncharacterized LOC119725314
LOC119725315	uncharacterized acetyltransferase YvcN-like
LOC119725316	methylthioribose kinase-like
LOC119725318	serine/threonine-protein kinase 38-like
LOC119725319	tripartite motif-containing protein 45-like
LOC119725320	E3 ubiquitin-protein ligase TRIM56-like
LOC119725321	E3 ubiquitin-protein ligase TRIM56-like
LOC119725322	E3 ubiquitin-protein ligase TRIM56-like
LOC119725323	tripartite motif-containing protein 3-like
LOC119725324	ras and EF-hand domain-containing protein homolog
LOC119725325	uncharacterized LOC119725325
LOC119725326	WD repeat-containing protein 76-like
LOC119725327	nuclear pore membrane glycoprotein 210-like
LOC119725328	crk-like protein
LOC119725329	protein crumbs-like
LOC119725330	F-box only protein 30-like
LOC119725331	aldehyde dehydrogenase, dimeric NADP-preferring-like
LOC119725332	tetratricopeptide repeat protein 17-like
LOC119725333	GTPase HRas
LOC119725334	sodium-dependent glucose transporter 1-like
LOC119725335	uncharacterized LOC119725335
LOC119725336	tRNA (cytosine(38)-C(5))-methyltransferase-like
LOC119725337	TBC1 domain family member 9-like
LOC119725338	transmembrane protein 101-like
LOC119725339	condensin-2 complex subunit D3-like
LOC119725340	treacle protein-like
LOC119725342	CD151 antigen-like
LOC119725343	uncharacterized LOC119725343
LOC119725344	uncharacterized LOC119725344
LOC119725345	uncharacterized LOC119725345
LOC119725346	uncharacterized LOC119725346
LOC119725347	uncharacterized LOC119725347
LOC119725349	uncharacterized LOC119725349
LOC119725350	uncharacterized LOC119725350
LOC119725351	tetraspanin-1-like
LOC119725352	60S ribosomal protein L32-like
LOC119725353	L-gulonolactone oxidase-like
LOC119725354	26S proteasome regulatory subunit 6A-B
LOC119725355	dnaJ homolog subfamily C member 5-like
LOC119725356	tRNA wybutosine-synthesizing protein 2 homolog
LOC119725357	protein TsetseEP-like
LOC119725359	transforming growth factor-beta receptor-associated protein 1-like
LOC119725360	zinc finger protein 37 homolog
LOC119725361	farnesyl pyrophosphate synthase-like
LOC119725362	histone H3.v1-like
LOC119725363	carbohydrate sulfotransferase 14-like
LOC119725365	CD9 antigen-like
LOC119725366	vegetative cell wall protein gp1-like
LOC119725367	vegetative cell wall protein gp1-like
LOC119725368	vegetative cell wall protein gp1-like
LOC119725369	uncharacterized LOC119725369
LOC119725370	uncharacterized LOC119725370
LOC119725371	uncharacterized LOC119725371
LOC119725372	pectin acetylesterase 11-like
LOC119725373	uncharacterized LOC119725373
LOC119725374	L-rhamnose-binding lectin CSL2-like
LOC119725375	RYamide receptor-like
LOC119725376	RYamide receptor-like
LOC119725377	RYamide receptor-like
LOC119725378	mucin-17-like
LOC119725379	beta-3 adrenergic receptor-like
LOC119725380	NLR family CARD domain-containing protein 4-like
LOC119725381	sphingosine 1-phosphate receptor 5-like
LOC119725382	coiled-coil domain-containing protein 91-like
LOC119725383	beta-3 adrenergic receptor-like
LOC119725384	uncharacterized LOC119725384
LOC119725385	uncharacterized LOC119725385
LOC119725386	uncharacterized LOC119725386
LOC119725387	uncharacterized LOC119725387
LOC119725388	uncharacterized LOC119725388
LOC119725389	uncharacterized LOC119725389
LOC119725390	MAM and LDL-receptor class A domain-containing protein 1-like
LOC119725392	C-type lectin domain family 4 member C-like
LOC119725393	fatty acyl-CoA reductase 1-like
LOC119725394	uncharacterized LOC119725394
LOC119725395	uncharacterized LOC119725395
LOC119725396	uncharacterized LOC119725396
LOC119725398	uncharacterized LOC119725398
LOC119725399	b(0,+)-type amino acid transporter 1-like
LOC119725400	slit homolog 2 protein-like
LOC119725401	uncharacterized LOC119725401
LOC119725402	uncharacterized LOC119725402
LOC119725403	protein FAM186A-like
LOC119725404	bacitracin synthase 2-like
LOC119725405	uncharacterized LOC119725405
LOC119725406	muscarinic acetylcholine receptor M2-like
LOC119725407	uncharacterized LOC119725407
LOC119725408	tripartite motif-containing protein 45-like
LOC119725409	kinesin-like protein KIF18A
LOC119725410	uncharacterized LOC119725410
LOC119725411	uncharacterized LOC119725411
LOC119725412	GDNF family receptor alpha-4-like
LOC119725413	uncharacterized LOC119725413
LOC119725414	uncharacterized LOC119725414
LOC119725415	uncharacterized LOC119725415
LOC119725416	uncharacterized LOC119725416
LOC119725417	uncharacterized LOC119725417
LOC119725418	uncharacterized LOC119725418
LOC119725419	12S rRNA N4-methylcytidine methyltransferase-like
LOC119725420	aerolysin-like protein
LOC119725421	G-protein coupled receptor GRL101-like
LOC119725422	MAM and LDL-receptor class A domain-containing protein 1-like
LOC119725423	MAM and LDL-receptor class A domain-containing protein 1-like
LOC119725424	hydroxyacid oxidase 1-like
LOC119725425	angiopoietin-1 receptor-like
LOC119725426	angiopoietin-1 receptor-like
LOC119725427	MAM and LDL-receptor class A domain-containing protein 1-like
LOC119725428	uncharacterized LOC119725428
LOC119725429	MAM and LDL-receptor class A domain-containing protein 2-like
LOC119725430	liprin-beta-1-like
LOC119725431	MAM and LDL-receptor class A domain-containing protein 1-like
LOC119725432	uncharacterized LOC119725432
LOC119725433	putative ferric-chelate reductase 1
LOC119725434	uncharacterized LOC119725434
LOC119725435	putative ferric-chelate reductase 1
LOC119725436	uncharacterized LOC119725436
LOC119725437	adhesion G-protein coupled receptor G2-like
LOC119725438	monocarboxylate transporter 2-like
LOC119725439	monocarboxylate transporter 12-like
LOC119725440	monocarboxylate transporter 9-like
LOC119725441	monocarboxylate transporter 9-like
LOC119725442	uncharacterized LOC119725442
LOC119725443	uncharacterized LOC119725443
LOC119725444	uncharacterized LOC119725444
LOC119725445	uncharacterized LOC119725445
LOC119725446	uncharacterized LOC119725446
LOC119725447	uncharacterized LOC119725447
LOC119725448	uncharacterized LOC119725448
LOC119725449	uncharacterized LOC119725449
LOC119725450	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 1-like
LOC119725451	nociceptin receptor-like
LOC119725452	monocarboxylate transporter 14-like
LOC119725453	uncharacterized LOC119725453
LOC119725454	uncharacterized LOC119725454
LOC119725455	uncharacterized LOC119725455
LOC119725456	uncharacterized LOC119725456
LOC119725457	uncharacterized LOC119725457
LOC119725458	lysophosphatidic acid receptor 2-like
LOC119725459	E3 ubiquitin-protein ligase TRIM56-like
LOC119725460	uncharacterized LOC119725460
LOC119725461	monocarboxylate transporter 12-like
LOC119725462	uncharacterized LOC119725462
LOC119725463	uncharacterized LOC119725463
LOC119725464	uncharacterized LOC119725464
LOC119725465	trichohyalin-like
LOC119725466	protein NLRC5-like
LOC119725467	protein NLRC5-like
LOC119725468	beta-3 adrenergic receptor-like
LOC119725469	NLR family CARD domain-containing protein 4-like
LOC119725470	uncharacterized LOC119725470
LOC119725471	uncharacterized LOC119725471
LOC119725472	uncharacterized LOC119725472
LOC119725473	uncharacterized LOC119725473
LOC119725474	beta-3 adrenergic receptor-like
LOC119725475	uncharacterized protein K02A2.6-like
LOC119725476	beta-3 adrenergic receptor-like
LOC119725477	beta-3 adrenergic receptor-like
LOC119725478	uncharacterized LOC119725478
LOC119725479	uncharacterized LOC119725479
LOC119725480	urea amidolyase-like
LOC119725481	uncharacterized LOC119725481
LOC119725482	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2-like
LOC119725484	hyalin-like
LOC119725485	trace amine-associated receptor 6-like
LOC119725487	uncharacterized LOC119725487
LOC119725488	craniofacial development protein 2-like
LOC119725489	uncharacterized LOC119725489
LOC119725490	uncharacterized LOC119725490
LOC119725491	uncharacterized protein K02A2.6-like
LOC119725492	very low-density lipoprotein receptor-like
LOC119725493	G-protein coupled receptor GRL101-like
LOC119725494	large neutral amino acids transporter small subunit 1-like
LOC119725495	uncharacterized LOC119725495
LOC119725496	trichohyalin-like
LOC119725497	17-beta-hydroxysteroid dehydrogenase 14-like
LOC119725498	uncharacterized LOC119725498
LOC119725500	secreted frizzled-related protein 3-like
LOC119725501	secreted frizzled-related protein 5-like
LOC119725502	uncharacterized LOC119725502
LOC119725503	protein-methionine sulfoxide oxidase mical2b-like
LOC119725504	uncharacterized LOC119725504
LOC119725505	myb-related protein A-like
LOC119725506	calcineurin-binding protein cabin-1-like
LOC119725508	uncharacterized LOC119725508
LOC119725509	uncharacterized LOC119725509
LOC119725510	uncharacterized LOC119725510
LOC119725511	uncharacterized LOC119725511
LOC119725512	proline-rich transmembrane protein 1-like
LOC119725513	proline-rich transmembrane protein 1-like
LOC119725514	proline-rich transmembrane protein 1-like
LOC119725515	proline-rich transmembrane protein 1-like
LOC119725516	opioid growth factor receptor-like
LOC119725517	annexin-B12-like
LOC119725518	serine/arginine repetitive matrix protein 1-like
LOC119725519	Fanconi anemia group E protein-like
LOC119725520	CCR4-NOT transcription complex subunit 4-like
LOC119725521	sodium channel modifier 1-like
LOC119725522	protein AATF-like
LOC119725523	isocitrate dehydrogenase [NADP] cytoplasmic-like
LOC119725524	BET1 homolog
LOC119725525	uncharacterized LOC119725525
LOC119725526	beta-microseminoprotein-like
LOC119725527	NPC intracellular cholesterol transporter 2-like
LOC119725528	NPC intracellular cholesterol transporter 2-like
LOC119725529	heme-binding protein 2-like
LOC119725530	placenta-specific gene 8 protein-like
LOC119725531	splicing factor 3A subunit 1-like
LOC119725532	isochorismatase domain-containing protein 2-like
LOC119725533	caprin-1-like
LOC119725534	GDH/6PGL endoplasmic bifunctional protein-like
LOC119725535	dnaJ homolog subfamily C member 25-like
LOC119725536	MAM and LDL-receptor class A domain-containing protein 2-like
LOC119725537	MAM and LDL-receptor class A domain-containing protein 2-like
LOC119725539	histone-lysine N-methyltransferase KMT5B-like
LOC119725540	uncharacterized LOC119725540
LOC119725541	oleosin-B4-like
LOC119725542	uncharacterized LOC119725542
LOC119725543	uncharacterized LOC119725543
LOC119725544	ligand of Numb protein X 2-like
LOC119725545	uncharacterized LOC119725545
LOC119725546	uncharacterized LOC119725546
LOC119725547	radial spoke head 14 homolog
LOC119725548	autophagy-related protein 101-like
LOC119725549	APOBEC1 complementation factor-like
LOC119725550	uncharacterized LOC119725550
LOC119725551	nuclear pore glycoprotein p62-like
LOC119725552	integrator complex subunit 11-like
LOC119725553	ceramide-1-phosphate transfer protein-like
LOC119725554	ceramide-1-phosphate transfer protein-like
LOC119725555	catenin delta-2-like
LOC119725556	COMM domain-containing protein 9-like
LOC119725557	NSFL1 cofactor p47-like
LOC119725558	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC119725559	molybdate-anion transporter-like
LOC119725560	60S ribosomal protein L15-like
LOC119725561	zinc finger protein 493-like
LOC119725562	uncharacterized LOC119725562
LOC119725563	liprin-alpha-1-like
LOC119725564	zinc finger protein 62 homolog
LOC119725565	zinc finger protein 62 homolog
LOC119725566	gastrula zinc finger protein XlCGF71.1-like
LOC119725567	uncharacterized LOC119725567
LOC119725568	uncharacterized LOC119725568
LOC119725569	uncharacterized LOC119725569
LOC119725570	SPRY domain-containing protein 3-like
LOC119725571	protein XRP2-like
LOC119725572	60S ribosomal protein L12-like
LOC119725573	protein phosphatase inhibitor 2-like
LOC119725574	deubiquitinating protein VCPIP1-like
LOC119725575	UDP-N-acetylhexosamine pyrophosphorylase-like
LOC119725576	sorting nexin-33-like
LOC119725577	BET1-like protein
LOC119725578	uncharacterized LOC119725578
LOC119725579	thrombospondin type-1 domain-containing protein 7A-like
LOC119725580	zinc finger CCCH domain-containing protein 4-like
LOC119725581	transcription elongation factor SPT5-like
LOC119725582	elongation of very long chain fatty acids protein 6-like
LOC119725583	elongation of very long chain fatty acids protein 6-like
LOC119725584	scavenger receptor cysteine-rich domain superfamily protein-like
LOC119725585	uncharacterized LOC119725585
LOC119725586	uncharacterized LOC119725586
LOC119725587	solute carrier family 46 member 3-like
LOC119725588	serine/threonine-protein kinase BRSK2-like
LOC119725589	proton-coupled folate transporter-like
LOC119725590	UDP-glucuronosyltransferase 2B31-like
LOC119725591	proton-coupled folate transporter-like
LOC119725592	oxysterol-binding protein-related protein 11-like
LOC119725593	adapter molecule Crk-like
LOC119725594	F-box only protein 30-like
LOC119725597	nurim-like
LOC119725598	uncharacterized LOC119725598
LOC119725599	uncharacterized LOC119725599
LOC119725601	uncharacterized LOC119725601
LOC119725602	inositol-3-phosphate synthase 1-A-like
LOC119725603	uncharacterized LOC119725603
LOC119725604	kelch-like protein 26
LOC119725605	pectin acetylesterase 11-like
LOC119725606	pectin acetylesterase 11-like
LOC119725607	pectin acetylesterase 11-like
LOC119725608	uncharacterized LOC119725608
LOC119725609	uncharacterized LOC119725609
LOC119725610	proline-rich transmembrane protein 1-like
LOC119725611	peroxisomal membrane protein 4-like
LOC119725612	carbohydrate sulfotransferase 11-like
LOC119725613	3-ketoacyl-CoA thiolase, mitochondrial-like
